Theta,A-X (meter),A-Y (meter),B-X (meter),B-Y (meter),C-X (meter),C-Y (meter),D-X (meter),D-Y (meter),D0-X (meter),D0-Y (meter),A-X Vel (meter/sec),A-Y Vel (meter/sec),B-X Vel (meter/sec),B-Y Vel (meter/sec),C-X Vel (meter/sec),C-Y Vel (meter/sec),D-X Vel (meter/sec),D-Y Vel (meter/sec),D0-X Vel (meter/sec),D0-Y Vel (meter/sec),A-X Acc (meter/sec**2),A-Y Acc (meter/sec**2),B-X Acc (meter/sec**2),B-Y Acc (meter/sec**2),C-X Acc (meter/sec**2),C-Y Acc (meter/sec**2),D-X Acc (meter/sec**2),D-Y Acc (meter/sec**2),D0-X Acc (meter/sec**2),D0-Y Acc (meter/sec**2)
-1.612719657,0.030559401,-0.001281903,-0.0344123,0.063446613,0.205617621,0.318189262,0.219627913,0.309840844,-0.021416215,0.05050091,0.004027064,0.095954013,-0.047226297,0.044497266,0.281896479,-0.265606735,0.291134576,-0.250131184,-0.036975625,0.054788616,-0.30143694,0.012651869,-0.060942177,0.172608275,0.363767453,-1.030308643,0.332654146,-1.043518727,-0.109041132,0.140616998
-1.560387659,0.030584631,0.000318357,-0.035207537,0.064212573,0.210364437,0.313617206,0.224524365,0.305524721,-0.022047358,0.05143373,-0.001000109,0.096033279,-0.048181798,0.047439934,0.287599922,-0.283171685,0.296317655,-0.26794477,-0.03874546,0.057158603,-0.301685953,-0.003142057,-0.05361575,0.180550492,0.320035606,-1.077716193,0.28873793,-1.094339396,-0.103229792,0.143811985
-1.508055649,0.030526079,0.001917744,-0.036017652,0.06502869,0.215200058,0.308745759,0.229500932,0.30090459,-0.02270716,0.0524065,-0.006024541,0.095849326,-0.049009737,0.050516646,0.29254194,-0.301536757,0.300737849,-0.286615133,-0.040412698,0.059583182,-0.30110807,-0.018927376,-0.045613955,0.188677455,0.272272461,-1.126226497,0.24098248,-1.146230539,-0.096712779,0.147156489
-1.455723568,0.030383905,0.003511875,-0.036840418,0.065897218,0.220111199,0.303561461,0.234544333,0.295966053,-0.023393808,0.05342015,-0.011032459,0.095402655,-0.049697814,0.053729604,0.29664911,-0.320715088,0.304324866,-0.306154625,-0.041964743,0.062064214,-0.299704872,-0.034660815,-0.036811178,0.196879536,0.219728194,-1.175185193,0.188629458,-1.198507424,-0.089389916,0.150571466
-1.403391354,0.030158499,0.00509638,-0.037673389,0.066820434,0.225083248,0.298050731,0.239640007,0.290694608,-0.024105266,0.054475623,-0.016010139,0.094694493,-0.050231626,0.057078956,0.299835468,-0.340707563,0.306995723,-0.326562808,-0.043387329,0.064602064,-0.297480203,-0.050299252,-0.027081326,0.205019278,0.161650152,-1.223771753,0.130916826,-1.25031528,-0.0811611,0.153955573
-1.351058949,0.029850478,0.006666916,-0.038513858,0.067800595,0.230100054,0.292200096,0.244771905,0.285075888,-0.024839245,0.055573859,-0.020943936,0.09372678,-0.050594688,0.060562294,0.302002607,-0.361499803,0.308654834,-0.34782337,-0.044664538,0.067195191,-0.294440155,-0.065799824,-0.016301011,0.212926341,0.097301839,-1.270969442,0.06709803,-1.300598721,-0.071928838,0.157181109
-1.298726291,0.029460686,0.008219178,-0.039358828,0.068839892,0.235143728,0.285996475,0.249922284,0.279095955,-0.02559318,0.056715749,-0.025820327,0.092502168,-0.05076851,0.064174057,0.303040161,-0.383058627,0.30919448,-0.369900518,-0.045778873,0.06983968,-0.290593064,-0.08112004,-0.004353996,0.220392246,0.025989444,-1.315533885,-0.003531234,-1.348069778,-0.061601807,0.160089789
-1.246393322,0.028990193,0.009748913,-0.040204978,0.069940392,0.240194445,0.279427523,0.25507151,0.272741659,-0.026364198,0.057902096,-0.030625946,0.091024014,-0.050732764,0.06790486,0.302826793,-0.405328,0.308495797,-0.39273483,-0.0467114,0.072528691,-0.285949476,-0.09621791,0.008862832,0.227165108,-0.052902546,-1.355961502,-0.081597133,-1.391175916,-0.050099624,0.162488504
-1.194059981,0.028440288,0.011251926,-0.041048634,0.071103972,0.24523028,0.272482052,0.260197887,0.26600107,-0.027149105,0.059133562,-0.035347621,0.089296369,-0.050465566,0.071740719,0.301231878,-0.428224461,0.306430453,-0.416238596,-0.047441977,0.075251849,-0.280522128,-0.111052055,0.02343168,0.23294471,-0.139864838,-1.390460273,-0.16760085,-1.428070568,-0.037359074,0.164145355
-1.141726207,0.027812478,0.012724098,-0.04188575,0.072332226,0.25022707,0.265150528,0.265277516,0.258863987,-0.027944359,0.060410601,-0.039972412,0.08732397,-0.049943904,0.075662216,0.298118048,-0.451632105,0.302863206,-0.440290708,-0.047949606,0.077994567,-0.274325893,-0.125581809,0.039404031,0.237378477,-0.235204739,-1.416925682,-0.261859623,-1.456589175,-0.023341944,0.164786415
